"complaint_id","complaint_text"
"CMP0001","Order OD501486939: Upon inspection I found the Casio calculator watch had internal damage - possibly dropped during handling. Photos attached for reference."
"CMP0002","got my Nike Air Zoom running shoes today, glass part completely shattered, feels like it was thrown around during shipping. order id OD885879795"
"CMP0003","very poor quality control, sent me a used/different phone model instead of the new one i ordered, order ref OD889991777"
"CMP0004","This is so frustrating, ordered Philips trimmer in size M but got size XL of a totally different brand, order OD696751693"
"CMP0005","Refund abhi tak account me nahi aaya, order OD658260221, pickup bhi ho gaya tha 19 din pehle."
"CMP0006","I received my Urban Ladder sofa (order OD448059918) today and the box was completely crushed, the item inside is broken too."
"CMP0007","opened box, found item leaking/broken, order OD420452650, please arrange pickup and refund my Rs 64999 immediately"
"CMP0008","Where is the rest of my order? Order id OD402533494, I paid for 4 pieces but only got 3, missing one item completely."
"CMP0009","Please freeze my account temporarily, I suspect fraudulent access, there's an order OD420632895 worth Rs 9999 that I absolutely did not place."
"CMP0010","double payment ho gaya order OD532074125 ke liye, bank statement me 2 baar deduction dikha raha hai"
"CMP0011","Sir maine Van Heusen formal shirt order kiya tha, aapne to koi aur cheez bhej di hai bilkul different, order id OD581695135"
"CMP0012","Order OD739830322 for Puma tracksuit - the courier keeps saying 'attempted delivery, customer not available' but nobody even called or came to my house."
"CMP0013","the Samsung microwave oven i ordered has a manufacturing defect or maybe damaged in transit, not sure, but it doesnt work at all. order OD918150683"
"CMP0014","delay delay delay. thats all i get from this app. OD882893941 still stuck at 'out for delivery' since 9 days"
"CMP0015","This is ridiculous, refund promised in 5-7 business days but it's been 2 days for order OD223847257 and nothing."
"CMP0016","Netbanking payment failed on checkout page, got error 504, but money got deducted, need this Rs 99999 back for order attempt OD656152900"
"CMP0017","Payment failed for order OD590122159 but amount of Rs 1299 got deducted from my bank account, please refund or confirm order."
"CMP0018","Refund abhi tak account me nahi aaya, order OD832363533, pickup bhi ho gaya tha 9 din pehle."
"CMP0019","why is my refund stuck in 'under review' for 7 days now, order OD890880074, this is unacceptable"
"CMP0020","i think warehouse forgot to pack one item, order OD421455482, im missing the Realme 11 Pro phone i paid extra for"
"CMP0021","item ka tag kuch aur hai but jo mila wo kuch aur hai, order OD364371717, samajh nahi aa raha kya bhej diya"
"CMP0022","got my Wildcraft backpack today, glass part completely shattered, feels like it was thrown around during shipping. order id OD382811832"
"CMP0023","I don't want a replacement, just refund my money for order OD344378798, the Redmi Note 12 phone was defective."
"CMP0024","I applied a coupon code but the final bill for order OD341206079 still shows full price without discount, please correct this."
"CMP0025","I ordered 3 items together in order OD244193987 but only 2 arrived, one Kent water purifier is missing from the package."
"CMP0026","Bhai mera order OD826600539 abhi tak nahi aaya, 25 din ho gaye, delivery boy bhi phone nahi utha raha."
"CMP0027","Product stopped functioning after 3 months of normal usage, still within warranty, order ref OD443285529, kindly assist with the claim process."
"CMP0028","how does this even happen, order OD173574218 shows i ordered one thing and a totally unrelated item arrived at my door"
"CMP0029","refund ka status check karna tha, order id OD399147754, bola tha 3 din me aa jayega ab 4 din ho gaye"
"CMP0030","Dear team, this is my third follow up regarding refund for order OD981044229. Kindly expedite as this is causing financial inconvenience."
"CMP0031","I want to formally complain about the condition of my parcel, order OD205675387. The product was clearly damaged before packing itself."
"CMP0032","seal was intact but qty was less than ordered, order number OD318610946, this is a packing error please resolve"
"CMP0033","wallet se payment kiya tha successfully but order status abhi bhi 'payment failed' dikha raha hai, please look into it"
"CMP0034","I want to formally complain about the condition of my parcel, order OD554340903. The product was clearly damaged before packing itself."
"CMP0035","Dear team, kindly note that the item delivered under order OD184564737 was found to be physically damaged upon unboxing. Requesting immediate replacement."
"CMP0036","i need this boAt Airdopes earbuds urgently for an event this weekend but order OD810026086 tracking hasnt moved in 9 days, please expedite"
"CMP0037","seller ne bola tha 2 saal warranty but ab warranty claim ke liye contact hi nahi ho raha, order OD397760792"
"CMP0038","Ordered a OnePlus Nord CE3 for my son's birthday but recieved totally different product, extremely disappointed, order OD161380746"
"CMP0039","Order OD386501362 - the Croma 43 inch LED TV arrived with a big crack on the screen. Worth Rs 64999 and totally unusable now."
"CMP0040","mismatched item recieved, order OD162959284, box had wrong label may be a packing error on your side"
"CMP0041","Requesting refund status update for order OD816114302, item was returned and picked up but no money credited yet."
"CMP0042","I have the warranty card and invoice ready for order OD455281184, the Van Heusen formal shirt has a manufacturing defect, please initiate the claim."
"CMP0043","the Zebronics bluetooth speaker i ordered has a manufacturing defect or maybe damaged in transit, not sure, but it doesnt work at all. order OD304451095"
"CMP0044","The Godrej almirah I bought is covered under manufacturer warranty but I'm not sure how to raise a claim through your platform, order OD183197117."
"CMP0045","why is my package always late every single time i order from you guys. order OD362950628 still not delivered after 9 days"
"CMP0046","I was charged Rs 1999 twice for the same order OD760904107, please reverse the duplicate charge immediately."
"CMP0047","Netbanking payment failed on checkout page, got error 504, but money got deducted, need this Rs 19999 back for order attempt OD529123992"
"CMP0048","double payment ho gaya order OD995205588 ke liye, bank statement me 2 baar deduction dikha raha hai"
"CMP0049","galat product bhej diya aapne, maine kuch aur order kiya tha, mila kuch aur, order number OD847959430"
"CMP0050","Kindly refund the amount for order OD561479973 to my original payment method, not to wallet, as I never agreed to that."
"CMP0051","I don't want a replacement, just refund my money for order OD882269302, the Philips trimmer was defective."
"CMP0052","i need this Tata Sky set top box urgently for an event this weekend but order OD853041955 tracking hasnt moved in 19 days, please expedite"
"CMP0053","paisa cut gya UPI se but order place hi nahi hua, transaction id related to OD935822550, kya karu ab"
"CMP0054","itna bada order tha but usme se ek product missing nikla box khol ke, order OD362298393, refund ya replace jo bhi jaldi karo"
"CMP0055","The box for order OD424825305 felt very light and when I opened it, one of the items was simply not there."
"CMP0056","I tried paying via card multiple times for Puma tracksuit and every time it says 'payment failed' but bank sms shows deduction."
"CMP0057","Very disappointed, ordered a Redmi Note 12 phone worth Rs 79999 for my mother's birthday and it arrived 12 days late, the whole occasion got ruined."
"CMP0058","I want a full refund for order OD976803188 as the product (Puma tracksuit) did not meet the description at all."
"CMP0059","This is a serious billing error, my card was charged Rs 499 for an order I never even placed, reference shows OD362897676."
"CMP0060","yeh kya bheja hai aapne, product bilkul tuta hua, packaging bhi weak thi, order OD172370545"
"CMP0061","I'm getting suspicious calls asking for OTP claiming to be from your delivery team regarding order OD277215428, is this a scam?"
"CMP0062","This is so frustrating, ordered Levis denim jacket in size M but got size XL of a totally different brand, order OD304235259"
"CMP0063","Payment failed for order OD776205431 but amount of Rs 45999 got deducted from my bank account, please refund or confirm order."
"CMP0064","item ka tag kuch aur hai but jo mila wo kuch aur hai, order OD205128697, samajh nahi aa raha kya bhej diya"
"CMP0065","Order OD175133802 refund shows 'processed' on the app but the amount Rs 79999 is not reflecting in my bank account."
"CMP0066","mismatched item recieved, order OD333754555, box had wrong label may be a packing error on your side"
"CMP0067","account se paisa kat gaya but order confirm nahi hua, phir bhi statement me charge show ho raha hai, order id OD126226563"
"CMP0068","To the support team, the Noise smartwatch received against order OD694768704 has visible damage on the body and does not power on."
"CMP0069","Order OD366992705 — the color/size I received does not match what I ordered at all. This is a wrong item, please rectify."
"CMP0070","item recieved is damage, corner is bent and it doesnt fit properly, order OD777641645, kindly help"
"CMP0071","package aaya but ek item missing hai andar se, order number OD223940587, kripya check karke bhejein"
"CMP0072","paisa cut gya UPI se but order place hi nahi hua, transaction id related to OD308773243, kya karu ab"
"CMP0073","Requesting warranty replacement for order OD168965204 as the product developed a fault within the covered period, worth Rs 12999."
"CMP0074","why does my invoice for order OD807435606 include a delivery charge when I have Prime membership which should be free delivery"
"CMP0075","can someone tell me why order OD914763202 is stuck in transit at the same hub for 7 days straight"
"CMP0076","Dear team, kindly note that the item delivered under order OD875340444 was found to be physically damaged upon unboxing. Requesting immediate replacement."
"CMP0077","package aaya but ek item missing hai andar se, order number OD240529481, kripya check karke bhejein"
"CMP0078","pls check order OD924970419, delivery partner marked it delayed due to logistics issue thrice now, this is unacceptable service"
"CMP0079","package aaya but ek item missing hai andar se, order number OD677280546, kripya check karke bhejein"
"CMP0080","why does my invoice for order OD258220114 include a delivery charge when I have Prime membership which should be free delivery"
"CMP0081","There is an unauthorized transaction of Rs 2999 on my account linked to order OD624232414, I demand an investigation and refund."
"CMP0082","This is the second time I've received a wrong item from your platform! Order OD384759615. Getting really tired of this."
"CMP0083","Netbanking payment failed on checkout page, got error 504, but money got deducted, need this Rs 34999 back for order attempt OD739362057"
"CMP0084","Ordered a combo pack, order OD793101194, but the charger/accessory that was supposed to come with the Apple iPhone 13 is missing."
"CMP0085","i think warehouse forgot to pack one item, order OD397083132, im missing the boAt Airdopes earbuds i paid extra for"
"CMP0086","how does this even happen, order OD319321646 shows i ordered one thing and a totally unrelated item arrived at my door"
"CMP0087","delay delay delay. thats all i get from this app. OD726563708 still stuck at 'out for delivery' since 14 days"
"CMP0088","itna bada order tha but usme se ek product missing nikla box khol ke, order OD749431082, refund ya replace jo bhi jaldi karo"
"CMP0089","Order OD315984311 - the Crompton room heater arrived with a big crack on the screen. Worth Rs 4999 and totally unusable now."
"CMP0090","Where is the rest of my order? Order id OD817112652, I paid for 4 pieces but only got 3, missing one item completely."
"CMP0091","seller par fraud ka case lagta hai, paisa le liya order OD517532243 ka but koi product bheja hi nahi aur ab contact bhi nahi ho raha"
