"ticket_id","order_id","customer_id","complaint_text","category","severity","sentiment","resolution_summary","action_taken","refund_amount","replacement_given","compensation_given","policy_sections_applied","agent_notes","resolution_time_hours","customer_satisfaction","resolved_by","resolution_status"
"TCK1001","OD329730155","CUS0041","The Crompton room heater I bought is covered under manufacturer warranty but I'm not sure how to raise a claim through your platform, order OD329730155.","Warranty Claim","Medium","Frustrated","Verified warranty claim for Crompton room heater; refund of ₹210.00 processed to original payment method.","Refund of ₹210.00 issued to source payment method","₹210.00","No","₹0","Section 4.1","Product falls within valid warranty period for Crompton room heater; Gold tier customer, prioritized per loyalty policy; Applied under Section 4.1","7.7","3","Supervisor","Resolved"
"TCK1002","OD426283245","CUS0025","Dear billing team, kindly review order OD426283245. I was overcharged by Rs 4999 compared to the listed MRP.","Billing Dispute","Medium","Frustrated","Verified billing dispute for the ordered item; refund of ₹11,523.00 processed to original payment method.","Refund of ₹11,523.00 issued to source payment method; Compensation applied: ₹200 coupon","₹11,523.00","No","₹200 coupon","Section 8.5, Section 10.3","Payment gateway logs cross-checked to confirm duplicate/incorrect charge; Silver tier customer, prioritized per loyalty policy; Applied under Section 8.5, Section 10.3","23.4","5","CSR","Resolved"
"TCK1003","OD304451095","CUS0174","the Zebronics bluetooth speaker i ordered has a manufacturing defect or maybe damaged in transit, not sure, but it doesnt work at all. order OD304451095","Damaged Product","High","Angry","Confirmed damaged product for Zebronics bluetooth speaker; replacement unit dispatched to customer at no additional cost.","Replacement unit initiated and dispatched; Escalated to senior team for final approval","₹0","Yes","₹0","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on Zebronics bluetooth speaker; Case value/severity required supervisor sign-off before resolution; Applied under Section 4.1, Section 10.3","45.7","3","Duty Manager","Resolved after escalation"
"TCK1004","OD529123992","CUS0089","Netbanking payment failed on checkout page, got error 504, but money got deducted, need this Rs 19999 back for order attempt OD529123992","Payment Failure","High","Angry","Verified payment failure for the ordered item; refund of ₹6,650.00 processed to original payment method.","Refund of ₹6,650.00 issued to source payment method","₹6,650.00","No","₹0","Section 8.5","Bank/gateway logs showed deduction without order confirmation, refund initiated; Gold tier customer, prioritized per loyalty policy; Applied under Section 8.5","52.0","5","Duty Manager","Resolved"
"TCK1005","OD264073400","CUS0130","warranty claim karna hai apne Hamilton Beach blender ka, order number OD264073400, product 6 mahine me hi kharab ho gaya","Warranty Claim","Medium","Frustrated","Confirmed warranty claim for Hamilton Beach blender; replacement unit dispatched to customer at no additional cost.","Replacement unit initiated and dispatched; Compensation applied: ₹200 coupon","₹0","Yes","₹200 coupon","Section 4.1","Product falls within valid warranty period for Hamilton Beach blender; Applied under Section 4.1","17.0","5","CSR","Resolved"
"TCK1006","OD395310485","CUS0223","I ordered Fastrack sunglasses 10 days back, order id OD395310485, expected delivery was 3 days ago. Where is my item??","Damaged Product","High","Angry","Confirmed damaged product for the ordered item; replacement unit dispatched to customer at no additional cost.","Replacement unit initiated and dispatched; Compensation applied: ₹200 coupon","₹0","Yes","₹200 coupon","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Silver tier customer, prioritized per loyalty policy; Applied under Section 4.1, Section 10.3","52.5","5","Duty Manager","Resolved"
"TCK1007","OD488302652","CUS0195","pls check order OD488302652, delivery partner marked it delayed due to logistics issue thrice now, this is unacceptable service","Late Delivery","High","Angry","Reviewed late delivery complaint for the ordered item; resolved with ₹200 coupon as goodwill compensation.","Compensation applied: ₹200 coupon","₹0","No","₹200 coupon","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Gold tier customer, prioritized per loyalty policy; Applied under Section 3.2","17.6","3","Supervisor","Resolved"
"TCK1008","OD882839238","CUS0032","very unhappy customer here. my expensive Zebronics bluetooth speaker worth 14999 rupees arrived cracked. order ref OD882839238.","Damaged Product","High","Angry","Confirmed damaged product for Zebronics bluetooth speaker; replacement unit dispatched to customer at no additional cost.","Replacement unit initiated and dispatched; Compensation applied: ₹200 coupon","₹0","Yes","₹200 coupon","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on Zebronics bluetooth speaker; Gold tier customer, prioritized per loyalty policy; Applied under Section 4.1, Section 10.3","48.7","4","Supervisor","Resolved"
"TCK1009","OD906341966","CUS0037","Payment failed for order OD906341966 but amount of Rs 999 got deducted from my bank account, please refund or confirm order.","Payment Failure","High","Frustrated","Reviewed payment failure complaint for the ordered item; resolved with ₹0 as goodwill compensation.","Customer counselled and case closed","₹0","No","₹0","Section 8.5","Bank/gateway logs showed deduction without order confirmation, refund initiated; Applied under Section 8.5","41.7","5","Supervisor","Resolved"
"TCK1010","OD575808013","CUS0106","very poor quality control, sent me a used/different phone model instead of the new one i ordered, order ref OD575808013","Wrong Product","Medium","Neutral","Investigation into the the ordered item complaint found the claim did not meet policy criteria for wrong product; request declined with explanation shared to customer.","Case reviewed and closed as not eligible under policy","₹0","No","₹0","Section 4.1, Section 10.3","Order records confirm mismatch between ordered and delivered SKU for the ordered item; Gold tier customer, prioritized per loyalty policy; Evidence insufficient to support claim under company policy; Applied under Section 4.1, Section 10.3","28.9","1","CSR","Rejected"
